Unnamed: 0,transition_type,gene_segment,freq
4,1,TRBJ1-5,0.0454881702717399
5,1,TRBJ1-6,-0.0212546065575888
6,1,TRBJ2-1,0.0129408634860795
7,1,TRBJ2-2,0.0002559400858563
8,1,TRBJ2-3,-0.0075697001330129
9,1,TRBJ2-4,-0.0002082692773561
10,1,TRBJ2-5,0.020484984652219
11,1,"TRBJ2-5, TRBJ2-7",-0.0308477331080443
12,1,TRBJ2-6,-0.0053954449723572
13,1,TRBJ2-7,0.016358222727294
0,1,TRBJ1-1,0.0233654505619611
1,1,TRBJ1-2,0.023376309993731
2,1,TRBJ1-3,-0.0058856089764049
3,1,TRBJ1-4,2.828720832244596e-05
4,1,TRBJ1-5,0.0294751356436499
5,1,TRBJ1-6,-0.0605311949400942
6,1,TRBJ2-1,-0.0026860687035158
7,1,"TRBJ2-1, TRBJ2-5",8.80956366231181e-06
8,1,"TRBJ2-1, TRBJ2-7",5.8730424415412e-06
9,1,TRBJ2-2,-0.0008938803810567
10,1,TRBJ2-3,-0.0202320087209197
11,1,TRBJ2-4,0.0005608195742396
12,1,TRBJ2-5,-0.1073733456243911
13,1,"TRBJ2-5, TRBJ2-1",1.17460848830824e-05
14,1,"TRBJ2-5, TRBJ2-3",5.8730424415412e-06
15,1,"TRBJ2-5, TRBJ2-7",0.0012186563066197
16,1,TRBJ2-6,-0.0025737840413816
17,1,TRBJ2-7,0.1221013112384361
18,1,"TRBJ2-7, TRBJ2-1",2.9365212207706e-06
19,1,"TRBJ2-7, TRBJ2-5",1.4682606103853e-05
0,1,TRBJ1-1,-0.111167017910352
1,1,TRBJ1-2,-0.0972748412459503
2,1,TRBJ1-3,-0.0044166771150962
3,1,TRBJ1-4,0.000122135175678
4,1,TRBJ1-5,0.1349370160168624
5,1,TRBJ1-6,-0.0056381102242906
6,1,TRBJ2-1,0.080565062864686
7,1,TRBJ2-2,-0.0044728777974031
8,1,TRBJ2-3,-0.0090022230098649
9,1,TRBJ2-4,-0.0016474822612744
10,1,TRBJ2-5,0.0234495189729964
11,1,"TRBJ2-5, TRBJ2-7",-0.004895719950241
12,1,TRBJ2-6,0.0006938275034574
13,1,TRBJ2-7,-0.0012526110191846
0,1,TRBJ1-1,0.0750716026845485
1,1,TRBJ1-2,0.0905705898799738
2,1,TRBJ1-3,0.0011433052008456
3,1,TRBJ1-4,7.053205858392788e-05
4,1,TRBJ1-5,0.0449815777795681
5,1,TRBJ1-6,0.0515617501969317
6,1,TRBJ2-1,0.0254968345347554
7,1,TRBJ2-2,0.0010075614528177
8,1,TRBJ2-3,0.0118937589047499
9,1,TRBJ2-4,0.0002751805441366
10,1,TRBJ2-5,-0.2604879319282429
11,1,"TRBJ2-5, TRBJ2-7",-0.0086414382046941
